costperATT.soc,costperATT.int,DcostperATT.int,costperTPT.soc,costperTPT.int,DcostperTPT.int,DcostperLYS0.int,DcostperLYS.int,Dcostperdeaths.int,DcostPerChildContact.int,DdeathsPer100kChildContacts.int,DLYS0Per100kChildContacts.int,DLYSPer100kChildContacts.int,ICER.int,iso3
7000 (2255 - 16326),-91783 (-835548 - 764997),-31656 (-123574 - 209),610 (223 - 1299),1006 (150 - 2691),1122 (-9 - 3309),23987 (-119 - 96091),57807 (-288 - 231737),1521271 (-7580 - 6098012),3307 (-26 - 9757),312 (80 - 860),19821 (5104 - 54626),8212 (2114 - 22624),40271,CMR
6414 (1864 - 14640),-136786 (-879376 - 875140),-35002 (-90447 - -12677),559 (177 - 1242),1091 (638 - 1685),1247 (632 - 2006),25413 (5199 - 69871),62479 (12806 - 171845),1703629 (349224 - 4685844),3678 (1862 - 5916),312 (80 - 860),20955 (5396 - 57752),8511 (2191 - 23450),43213,UGA
